Cycle,Training samples,Epoch,Loss,Keep/delete loss,Refinement coordinate loss,Addition EOS loss,Addition coordinate loss,Elapsed minutes
larger,1000,5,0.8350332677364349,0.4872438609600067,0.0009679107824922539,0.08925622585229576,0.02488540706690401,0.17315814166698448
larger,1000,6,0.8129360675811768,0.48834510892629623,0.0009725028940010816,0.08954708487726748,0.02253188518807292,0.2099976783336994
larger,1000,7,0.8478836938738823,0.4865722134709358,0.0009629157866584137,0.0892400867305696,0.026244222419336438,0.24530723499968493
larger,1000,8,0.7837217673659325,0.48606691882014275,0.0009564548527123407,0.08936020359396935,0.019873010111041367,0.27951515166690416
larger,1000,9,0.7905361279845238,0.4863748177886009,0.000955146984779276,0.08946375409141183,0.020514609524980187,0.3133092633332126
larger,1000,10,0.6942126750946045,0.48618725314736366,0.0009478870415478013,0.08626038976944983,0.011228618095628917,0.348569828333954
larger,1000,11,0.6959911584854126,0.4860650300979614,0.0009509912706562318,0.0893542105332017,0.011106200516223907,0.3829008100001374
larger,1000,12,0.6882261037826538,0.4856407791376114,0.0009426814795006067,0.08358550444245338,0.010957299236906692,0.41954824500038135
larger,1000,13,0.7095134928822517,0.4853999949991703,0.0009406366225448437,0.0835326355881989,0.013117449008859694,0.4539268950000405
larger,1000,14,0.7108077928423882,0.4852583035826683,0.0009295008130720817,0.08546292409300804,0.013079155643936247,0.48748632333396624
larger,1000,15,0.650989405810833,0.48541587591171265,0.0009317066287621856,0.08374399738386273,0.007251246388477739,0.5211485800003478
very_large,20000,1,1.021495195710735,0.4979720751571048,0.0009540227367127444,0.13256378833702795,0.038141910608851935,0.6907010399998399
very_large,20000,2,0.9681777320090373,0.48335074543193646,0.0008801159680269326,0.10558220895991963,0.03704436108541147,1.3781018016665862
very_large,20000,3,0.9441218696961737,0.4738347370913074,0.0008658398755464205,0.10490695522374409,0.03567217777121314,2.07295404500037
very_large,20000,4,0.9156604481350844,0.45681346544794216,0.0008524268365815092,0.10397896903810228,0.0346343745818587,2.757053956666884
very_large,20000,5,0.8993273472330373,0.4439675263158835,0.0008487188765945234,0.10229161987970968,0.03445810168554449,3.450183571666518
very_large,20000,6,0.8739682386635216,0.4337190032764605,0.0008440776042207173,0.10066015650607218,0.033114830451679365,4.142581248332863
very_large,20000,7,0.8562808177273744,0.4243506956252323,0.0008390605450418013,0.09869865425358153,0.03248408644988089,4.836983946666199
very_large,20000,8,0.860860031311679,0.41641976252482954,0.0008357459761552323,0.09844336814134363,0.03376394378578967,5.5222463916667035
very_large,20000,9,0.8235440373800362,0.4097498497765535,0.0008310802650910796,0.09528328638500089,0.031020010308404067,6.226630376666435
very_large,20000,10,0.7996042273986111,0.4036663328386416,0.0008275293341725115,0.09378912677146067,0.029387347759073895,6.926105145000232
very_large,20000,11,0.783288568637933,0.3997496155796537,0.0008259178087364432,0.09490667319720149,0.028037310227200057,7.646492148333346
very_large,20000,12,0.7507788385175596,0.39550453671224556,0.0008243181977041398,0.09354599933051,0.02534851222595639,8.356164103333139
very_large,20000,13,0.7546164053640548,0.3913744839893025,0.0008218292607391953,0.09249294574141123,0.026253068153776087,9.07824101166625
very_large,20000,14,0.7330715863188361,0.3883359990302165,0.0008191889045154972,0.09304627255317133,0.024349742678771165,9.773893929999515
very_large,20000,15,0.7051858328709937,0.38526794390313945,0.000817985514884779,0.09074207644458789,0.02209959585800957,10.597992360000111
