Cycle,Training samples,Epoch,Loss,Keep/delete loss,Refinement coordinate loss,Addition EOS loss,Addition coordinate loss,Elapsed minutes
small,1000,1,1.49735027551651,0.6407046541571617,0.0010716168471844867,0.5184881426393986,0.03274412755854428,0.036964629999905206
small,1000,2,1.0556200966238976,0.5237611792981625,0.0010561892922851257,0.22609776258468628,0.02951992757152766,0.07037142833384374
small,1000,3,0.9001006707549095,0.49403323605656624,0.000995772446913179,0.11208655405789614,0.02840231521986425,0.10266242333357999
small,1000,4,0.8311406299471855,0.4960515834391117,0.000995913775113877,0.09634073590859771,0.02287891600281,0.13634999000059905
small,1000,5,0.8350332677364349,0.4872438609600067,0.0009679107824922539,0.08925622585229576,0.02488540706690401,0.17311584000029445
small,1000,6,0.8129360675811768,0.48834510892629623,0.0009725028940010816,0.08954708487726748,0.02253188518807292,0.20527884500043
small,1000,7,0.8478836938738823,0.4865722134709358,0.0009629157866584137,0.0892400867305696,0.026244222419336438,0.24049692333404285
small,1000,8,0.7837217673659325,0.48606691882014275,0.0009564548527123407,0.08936020359396935,0.019873010111041367,0.27532149000035133
small,1000,9,0.7905361279845238,0.4863748177886009,0.000955146984779276,0.08946375409141183,0.020514609524980187,0.31236320333361317
small,1000,10,0.6942126750946045,0.48618725314736366,0.0009478870415478013,0.08626038976944983,0.011228618095628917,0.3459645400008109
small,1000,11,0.6959911584854126,0.4860650300979614,0.0009509912706562318,0.0893542105332017,0.011106200516223907,0.38112484666732294
small,1000,12,0.6882261037826538,0.4856407791376114,0.0009426814795006067,0.08358550444245338,0.010957299236906692,0.4182528383341075
small,1000,13,0.7095134928822517,0.4853999949991703,0.0009406366225448437,0.0835326355881989,0.013117449008859694,0.456597039999906
small,1000,14,0.7108077928423882,0.4852583035826683,0.0009295008130720817,0.08546292409300804,0.013079155643936247,0.49852742000075523
small,1000,15,0.650989405810833,0.48541587591171265,0.0009317066287621856,0.08374399738386273,0.007251246388477739,0.5384114200006782
medium,20000,1,1.021495195710735,0.4979720751571048,0.0009540227367127444,0.13256378833702795,0.038141910608851935,0.7537863466665536
medium,20000,2,0.9681777320090373,0.48335074543193646,0.0008801159680269326,0.10558220895991963,0.03704436108541147,1.5337883466660667
medium,20000,3,0.9441218696961737,0.4738347370913074,0.0008658398755464205,0.10490695522374409,0.03567217777121314,2.3046869549997306
medium,20000,4,0.9156604481350844,0.45681346544794216,0.0008524268365815092,0.10397896903810228,0.0346343745818587,3.0988120716666647
medium,20000,5,0.8993273472330373,0.4439675263158835,0.0008487188765945234,0.10229161987970968,0.03445810168554449,3.8563661416662702
